date,user_id,book_id,category,action,purchase_type,time_spent_minutes,purchase_price,book_type,device,city
2025-01-27,152,54,Классика,purchase,yearly_subscription,250,65.99,audio,iOS,Красноярск
2025-01-27,877,360,Классика,wishlist,yearly_subscription,0,0.0,reading,E-Reader,Москва
2025-01-27,732,37,Комикс,wishlist,one_time_purchase,0,0.0,audio,iOS,Новосибирск
2025-01-27,179,435,Комикс,wishlist,one_time_purchase,0,0.0,reading,E-Reader,Екатеринбург
2025-01-27,889,156,Роман,wishlist,yearly_subscription,0,0.0,reading,iOS,Екатеринбург
2025-01-27,707,144,История,wishlist,yearly_subscription,0,0.0,reading,E-Reader,Нижний Новгород
2025-01-27,905,152,Фантастика,purchase,one_time_purchase,8,72.26,reading,E-Reader,Омск
2025-01-27,608,11,Здоровье,purchase,one_time_purchase,213,85.93,reading,iOS,Казань
2025-01-27,193,311,Бизнес,purchase,monthly_subscription,332,9.74,audio,Android,Санкт-Петербург
2025-01-27,1159,51,Бизнес,purchase,yearly_subscription,496,35.2,reading,E-Reader,Казань
2025-01-27,613,406,Психология,purchase,monthly_subscription,401,9.45,audio,iOS,Екатеринбург
2025-01-27,357,454,Психология,wishlist,monthly_subscription,0,0.0,reading,iOS,Нижний Новгород
2025-01-27,712,462,Фантастика,purchase,yearly_subscription,147,35.1,reading,E-Reader,Омск
2025-01-27,164,452,Психология,purchase,monthly_subscription,142,56.45,audio,iOS,Красноярск
2025-01-27,962,409,Саморазвитие,purchase,one_time_purchase,50,99.13,reading,E-Reader,Москва
2025-01-27,1123,211,Комикс,wishlist,yearly_subscription,0,0.0,reading,E-Reader,Санкт-Петербург
2025-01-27,41,448,Саморазвитие,wishlist,monthly_subscription,0,0.0,reading,E-Reader,Уфа
2025-01-27,467,206,Фантастика,wishlist,yearly_subscription,0,0.0,reading,Android,Уфа
2025-01-27,1029,170,Проза,purchase,one_time_purchase,61,20.0,audio,Android,Челябинск
2025-01-27,322,12,История,purchase,yearly_subscription,393,21.68,reading,E-Reader,Нижний Новгород
2025-01-27,642,275,Фантастика,purchase,yearly_subscription,345,59.06,reading,Android,Самара
2025-01-27,733,149,Комикс,purchase,yearly_subscription,139,40.45,audio,iOS,Казань
2025-01-27,252,442,Классика,wishlist,monthly_subscription,0,0.0,reading,E-Reader,Омск
2025-01-27,91,390,Бизнес,purchase,yearly_subscription,347,11.38,audio,iOS,Казань
2025-01-27,1151,273,Бизнес,wishlist,monthly_subscription,0,0.0,reading,E-Reader,Ростов-на-Дону
2025-01-27,299,343,Проза,wishlist,yearly_subscription,0,0.0,reading,E-Reader,Уфа
2025-01-27,227,406,Комикс,wishlist,monthly_subscription,0,0.0,audio,iOS,Красноярск
2025-01-27,285,178,Фэнтези,purchase,monthly_subscription,30,72.08,reading,E-Reader,Москва
2025-01-27,681,227,История,purchase,yearly_subscription,307,51.65,audio,Android,Омск
2025-01-27,456,416,Классика,wishlist,one_time_purchase,0,0.0,reading,E-Reader,Омск
2025-01-27,586,71,Фантастика,wishlist,one_time_purchase,0,0.0,reading,E-Reader,Ростов-на-Дону
2025-01-27,879,331,Фантастика,purchase,monthly_subscription,385,21.23,reading,Android,Нижний Новгород
2025-01-27,105,461,Фэнтези,purchase,yearly_subscription,63,48.36,reading,Android,Ростов-на-Дону
2025-01-27,290,365,Саморазвитие,wishlist,yearly_subscription,0,0.0,reading,iOS,Ростов-на-Дону
2025-01-27,1128,480,История,purchase,one_time_purchase,42,25.4,reading,E-Reader,Ростов-на-Дону
2025-01-27,283,384,Бизнес,wishlist,yearly_subscription,0,0.0,reading,E-Reader,Ростов-на-Дону
2025-01-27,605,358,Бизнес,wishlist,one_time_purchase,0,0.0,reading,E-Reader,Москва
2025-01-27,1082,472,Здоровье,wishlist,yearly_subscription,0,0.0,reading,iOS,Екатеринбург
2025-01-27,461,71,Комикс,purchase,one_time_purchase,71,81.09,reading,E-Reader,Красноярск
2025-01-27,272,34,Бизнес,wishlist,monthly_subscription,0,0.0,reading,E-Reader,Омск
2025-01-27,1148,235,Проза,wishlist,one_time_purchase,0,0.0,reading,E-Reader,Новосибирск
2025-01-27,83,306,Классика,purchase,yearly_subscription,160,5.25,reading,Android,Нижний Новгород
2025-01-27,855,499,Роман,purchase,yearly_subscription,407,65.56,reading,E-Reader,Омск
2025-01-27,586,378,Научная литература,wishlist,one_time_purchase,0,0.0,reading,E-Reader,Екатеринбург
2025-01-27,241,357,Фэнтези,wishlist,yearly_subscription,0,0.0,reading,E-Reader,Красноярск
2025-01-27,958,374,История,purchase,monthly_subscription,469,65.68,reading,Android,Красноярск
2025-01-27,913,222,Проза,purchase,yearly_subscription,320,12.11,reading,E-Reader,Санкт-Петербург
2025-01-27,651,206,Классика,wishlist,monthly_subscription,0,0.0,reading,Android,Красноярск
2025-01-27,496,144,Саморазвитие,wishlist,one_time_purchase,0,0.0,reading,E-Reader,Красноярск
2025-01-27,69,75,Научная литература,wishlist,monthly_subscription,0,0.0,reading,iOS,Нижний Новгород
2025-01-27,248,57,Фэнтези,purchase,monthly_subscription,438,23.2,reading,E-Reader,Новосибирск
2025-01-27,467,318,Роман,purchase,one_time_purchase,398,82.26,reading,E-Reader,Москва
2025-01-27,622,300,Фэнтези,wishlist,monthly_subscription,0,0.0,reading,E-Reader,Екатеринбург
2025-01-27,701,134,Фэнтези,wishlist,monthly_subscription,0,0.0,audio,Android,Москва
2025-01-27,147,336,История,purchase,monthly_subscription,152,33.29,reading,E-Reader,Новосибирск
2025-01-27,914,142,Психология,purchase,yearly_subscription,344,34.52,reading,E-Reader,Нижний Новгород
2025-01-27,502,7,Детектив,purchase,one_time_purchase,241,19.89,reading,iOS,Екатеринбург
2025-01-27,885,69,Проза,wishlist,yearly_subscription,0,0.0,audio,Android,Уфа
2025-01-27,483,69,Фэнтези,wishlist,one_time_purchase,0,0.0,reading,iOS,Омск
2025-01-27,515,89,Классика,wishlist,yearly_subscription,0,0.0,audio,Android,Казань
2025-01-27,1181,268,Бизнес,wishlist,one_time_purchase,0,0.0,audio,Android,Челябинск
2025-01-27,504,346,Комикс,wishlist,monthly_subscription,0,0.0,reading,iOS,Нижний Новгород
2025-01-27,1131,161,История,purchase,monthly_subscription,55,8.39,reading,iOS,Уфа
2025-01-27,1022,438,Детектив,wishlist,monthly_subscription,0,0.0,reading,E-Reader,Нижний Новгород
2025-01-27,932,208,История,wishlist,monthly_subscription,0,0.0,reading,Android,Самара
2025-01-27,990,165,Роман,purchase,yearly_subscription,478,49.06,reading,E-Reader,Уфа
2025-01-27,647,415,Детектив,purchase,one_time_purchase,41,49.8,reading,E-Reader,Казань
2025-01-27,99,85,Фэнтези,wishlist,monthly_subscription,0,0.0,reading,E-Reader,Москва
2025-01-27,256,174,Комикс,wishlist,one_time_purchase,0,0.0,reading,iOS,Омск
2025-01-27,535,415,Классика,purchase,yearly_subscription,129,35.98,reading,E-Reader,Омск
2025-01-27,340,65,Бизнес,purchase,monthly_subscription,284,44.99,reading,Android,Красноярск
2025-01-27,784,406,Фэнтези,wishlist,one_time_purchase,0,0.0,audio,iOS,Самара
2025-01-27,1007,56,Классика,purchase,yearly_subscription,91,46.4,audio,iOS,Санкт-Петербург
2025-01-27,453,269,Научная литература,wishlist,yearly_subscription,0,0.0,audio,Android,Новосибирск
2025-01-27,301,385,Классика,purchase,yearly_subscription,340,69.68,audio,iOS,Екатеринбург
2025-01-27,558,318,Бизнес,purchase,yearly_subscription,328,7.63,reading,E-Reader,Омск
2025-01-27,375,133,Проза,wishlist,one_time_purchase,0,0.0,reading,E-Reader,Самара
2025-01-27,218,286,Научная литература,wishlist,yearly_subscription,0,0.0,audio,Android,Ростов-на-Дону
2025-01-27,73,25,Психология,wishlist,one_time_purchase,0,0.0,audio,iOS,Красноярск
2025-01-27,262,155,Саморазвитие,wishlist,one_time_purchase,0,0.0,audio,Android,Красноярск
2025-01-27,1094,64,Саморазвитие,wishlist,one_time_purchase,0,0.0,reading,E-Reader,Красноярск
2025-01-27,333,90,Роман,purchase,yearly_subscription,1,84.42,reading,Android,Омск
2025-01-27,930,448,Классика,wishlist,one_time_purchase,0,0.0,audio,Android,Челябинск
2025-01-27,162,248,Бизнес,wishlist,yearly_subscription,0,0.0,reading,Android,Челябинск
2025-01-27,288,440,Психология,purchase,yearly_subscription,181,84.19,reading,E-Reader,Казань
2025-01-27,257,164,Научная литература,wishlist,one_time_purchase,0,0.0,reading,E-Reader,Новосибирск
2025-01-27,423,299,Фантастика,purchase,yearly_subscription,147,58.27,reading,E-Reader,Красноярск
2025-01-27,584,128,Бизнес,wishlist,yearly_subscription,0,0.0,audio,iOS,Новосибирск
2025-01-27,1123,489,Бизнес,wishlist,yearly_subscription,0,0.0,reading,iOS,Ростов-на-Дону
2025-01-27,427,327,Проза,wishlist,one_time_purchase,0,0.0,audio,Android,Уфа
2025-01-27,96,492,Комикс,wishlist,yearly_subscription,0,0.0,reading,E-Reader,Самара
2025-01-27,918,369,Психология,purchase,monthly_subscription,111,60.6,reading,iOS,Нижний Новгород
2025-01-27,272,344,История,purchase,one_time_purchase,36,10.3,reading,iOS,Екатеринбург
2025-01-27,269,457,Фантастика,purchase,yearly_subscription,42,57.4,reading,E-Reader,Ростов-на-Дону
2025-01-27,861,420,Проза,wishlist,yearly_subscription,0,0.0,reading,E-Reader,Уфа
2025-01-27,423,124,Фэнтези,wishlist,yearly_subscription,0,0.0,reading,E-Reader,Казань
2025-01-27,1040,179,Комикс,wishlist,monthly_subscription,0,0.0,reading,E-Reader,Казань
2025-01-27,1021,278,Саморазвитие,purchase,yearly_subscription,129,53.24,reading,iOS,Москва
2025-01-27,561,452,Роман,purchase,monthly_subscription,493,86.02,reading,E-Reader,Самара
2025-01-27,527,28,Научная литература,wishlist,one_time_purchase,0,0.0,audio,iOS,Екатеринбург
2025-01-27,161,44,История,purchase,one_time_purchase,122,33.53,reading,Android,Ростов-на-Дону
2025-01-27,478,262,История,purchase,yearly_subscription,58,19.5,reading,Android,Омск
